,Make,0,1,2,3,4,5,6
0,Capacity,332.0,53.0,,2.0,45.0,,16.0
1,Chevrolet,178.0,4.0,2.0,,6.0,,16.0
2,Cottrell,8.0,,,,,,
3,Eager,4.0,,,,,,
4,East,2.0,,,,,,
5,Ford,1333.0,338.0,35.0,16.0,856.0,,24.0
6,Freightliner,4292.0,282.0,385.0,65.0,349.0,283.0,135.0
7,Gmc,334.0,18.0,2.0,12.0,6.0,,10.0
8,Great,12.0,,,,,,
9,Hino,1072.0,98.0,8.0,90.0,30.0,,122.0
10,International,15895.0,2398.0,1399.0,182.0,1366.0,349.0,1149.0
11,Isuzu,415.0,18.0,,14.0,8.0,4.0,10.0
12,Kenworth,4048.0,291.0,102.0,4.0,113.0,79.0,182.0
13,Kw,156.0,6.0,2.0,,4.0,,
14,Mack,4405.0,128.0,85.0,124.0,231.0,,151.0
15,Peterbilt,9683.0,227.0,221.0,19.0,240.0,191.0,128.0
16,Pierce,739.0,86.0,5.0,,,,2.0
17,Ram,146.0,,,,,,2.0
18,Spartan,428.0,129.0,9.0,,,,4.0
19,Sterling,579.0,179.0,285.0,14.0,292.0,,320.0
20,Utility,10.0,,,,,,
21,Volvo,3589.0,209.0,262.0,266.0,253.0,84.0,171.0
22,Western,851.0,198.0,126.0,8.0,640.0,,57.0
