,INSP_UNIT_MAKE,0,1,2,3,4,5,6,7,total_count
1216,FRHT,7167.0,36879.0,6324.0,13643.0,5964.0,5888.0,14311.0,13980.0,96989.0
1587,INTL,3272.0,19160.0,2812.0,9052.0,2852.0,3626.0,7650.0,6111.0,51263.0
1831,KW,2685.0,14197.0,2373.0,4468.0,2604.0,3227.0,6829.0,5053.0,38751.0
1169,FORD,2396.0,1903.0,1674.0,12257.0,2517.0,6539.0,3951.0,3721.0,32562.0
2591,PTRB,2251.0,9277.0,2359.0,3742.0,2407.0,2862.0,4414.0,4276.0,29337.0
901,DODG,1737.0,566.0,985.0,7719.0,1505.0,4349.0,1933.0,3233.0,20290.0
3586,VOLV,1152.0,6793.0,1218.0,1878.0,867.0,881.0,2136.0,2751.0,16524.0
2022,MACK,1096.0,3571.0,1064.0,2402.0,1386.0,2063.0,3227.0,2634.0,16347.0
1454,HINO,1146.0,1690.0,1111.0,3932.0,1281.0,1407.0,2198.0,1325.0,12944.0
3371,TRLR,816.0,899.0,806.0,4305.0,794.0,2532.0,1132.0,1707.0,12175.0
573,CHEV,538.0,298.0,329.0,3499.0,568.0,1711.0,947.0,888.0,8240.0
3512,UTIL,705.0,2450.0,691.0,1263.0,490.0,511.0,1046.0,1442.0,7893.0
2377,OTHR,481.0,799.0,456.0,2331.0,701.0,1322.0,1091.0,1032.0,7732.0
299,BIGT,478.0,228.0,347.0,2501.0,534.0,1762.0,639.0,1229.0,7240.0
2637,RAM,533.0,284.0,418.0,1806.0,509.0,1451.0,616.0,1077.0,6161.0
3488,UNK,457.0,462.0,369.0,2054.0,379.0,1178.0,593.0,828.0,5863.0
1325,GMC,458.0,391.0,264.0,1789.0,360.0,846.0,851.0,519.0,5020.0
1289,GDAN,441.0,1528.0,446.0,722.0,235.0,289.0,656.0,880.0,4756.0
3623,WANC,433.0,1581.0,345.0,666.0,210.0,197.0,644.0,884.0,4527.0
1609,ISU,419.0,302.0,472.0,1332.0,532.0,398.0,714.0,468.0,4218.0
3750,WSTR,243.0,602.0,178.0,512.0,259.0,415.0,481.0,524.0,2971.0
3032,STRG,164.0,917.0,133.0,454.0,205.0,267.0,515.0,330.0,2821.0
1728,KAUF,314.0,87.0,121.0,1015.0,217.0,505.0,202.0,514.0,2661.0
1532,HYTR,295.0,861.0,203.0,456.0,148.0,91.0,317.0,466.0,2542.0
2438,PARM,91.0,28.0,53.0,489.0,96.0,348.0,94.0,205.0,1313.0
2521,PJTM,75.0,43.0,43.0,342.0,125.0,288.0,102.0,162.0,1105.0
1163,FONA,62.0,242.0,115.0,101.0,49.0,180.0,167.0,165.0,1019.0
3023,STOU,117.0,292.0,111.0,118.0,37.0,23.0,121.0,175.0,877.0
1619,ITNL,32.0,579.0,23.0,30.0,24.0,19.0,114.0,85.0,874.0
